Trade ID,Symbol,Strategy Version,Entry timestamp,Exit timestamp,Side,Entry price,Exit price,Notional,Gross P&L,Funding P&L,Fees,Slippage,Net P&L,Equity after trade,Drawdown %,Signal,Status
42,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-10-25 16:00:00+00:00,2024-10-26 00:00:00+00:00,Long Spot / Short Perp,2440.1,2464.71,100000.0,0.0,10.0,686673.4,245240.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
43,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-10-27 16:00:00+00:00,2024-11-02 16:00:00+00:00,Long Spot / Short Perp,2507.22,2493.61,100000.0,0.0,150.00000000000003,700116.2,250041.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
44,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-11-06 08:00:00+00:00,2024-12-31 00:00:00+00:00,Long Spot / Short Perp,2634.28,3352.59,100000.0,0.0,2051.0229999999997,838161.8,299343.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
45,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-12-31 16:00:00+00:00,2025-01-01 08:00:00+00:00,Long Spot / Short Perp,3336.57,3352.07,100000.0,0.0,10.0,936409.6,334432.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
46,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2025-01-02 16:00:00+00:00,2025-01-08 08:00:00+00:00,Long Spot / Short Perp,3454.83,3346.0,100000.0,0.0,140.00000000000003,952116.2,340041.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
47,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2025-05-09 16:00:00+00:00,2025-10-11 16:00:00+00:00,Long Spot / Short Perp,2344.3,3744.99,100000.0,0.0,1131.1700000000003,852500.6000000001,304464.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
48,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2025-10-14 00:00:00+00:00,2025-10-16 00:00:00+00:00,Long Spot / Short Perp,3979.28,4002.48,100000.0,0.0,5.046000000000001,1117446.4,399088.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
49,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2025-10-21 16:00:00+00:00,2025-10-22 08:00:00+00:00,Long Spot / Short Perp,3871.11,3839.73,100000.0,0.0,2.192,1079517.6,385542.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
50,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2025-10-27 00:00:00+00:00,2025-10-28 08:00:00+00:00,Long Spot / Short Perp,4200.0,4095.35,100000.0,0.0,16.377999999999997,1161349.0,414767.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
51,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2026-04-22 16:00:00+00:00,2026-04-23 00:00:00+00:00,Long Spot / Short Perp,2373.04,2342.81,100000.0,0.0,10.0,660219.0,235792.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
52,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2026-05-04 00:00:00+00:00,2026-05-17 00:00:00+00:00,Long Spot / Short Perp,2361.79,2185.19,100000.0,0.0,30.532,636577.2,227349.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
53,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2026-07-27 08:00:00+00:00,2026-07-28 00:00:00+00:00,Long Spot / Short Perp,1926.77,1882.75,100000.0,0.0,1.456,533332.8,190476.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
